Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10348648,..
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3782995,3760866,3740410,3721526,3678736,3634487,3593079,3534888,3474182,..
"Population, total",SP.POP.TOTL,Qatar,QAT,476478,593453,1178955,1388962,1591151,1765513,1905437,2015624,2101288,2172065,2235355,..
"Population, total",SP.POP.TOTL,Romania,ROM,23201835,22442971,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19832389,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148292000,146596557,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819569,144096812,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,7259740,8021875,9481083,9750314,10024594,10293669,10556429,10817350,11078095,11341544,11609666,..
"Population, total",SP.POP.TOTL,Samoa,WSM,162865,174614,182238,183440,184700,186029,187434,188901,190390,191845,193228,..
"Population, total",SP.POP.TOTL,San Marino,SMR,24045,27420,29874,30160,30431,30690,30938,31172,31391,31595,31781,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,113575,137164,160064,163595,167196,170880,174646,178484,182386,186342,190344,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16361453,21392273,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545,31540372,..
"Population, total",SP.POP.TOTL,Senegal,SEN,7514201,9860578,11897230,12229703,12581624,12956791,13357003,13780108,14221041,14672557,15129273,..
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7098247,..
"Population, total",SP.POP.TOTL,Seychelles,SYC,70000,81131,85033,86956,87298,89770,87441,88303,89900,91400,92900,..
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,3931208,4060709,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,6453184,..
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,..
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,30519,39462,40458,39133,35474,33435,34640,36607,37685,38817,..
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5424050,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063768,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311849,412336,492075,503410,514767,526177,537648,549162,560685,572171,583591,..
"Population, total",SP.POP.TOTL,Somalia,SOM,6321615,7385416,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569,10787104,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,35200000,44000000,48596781,49296223,50020918,50771826,51549958,52356381,53192216,54058647,54956920,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,5762190,6692999,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,12339812,..
"Population, total",SP.POP.TOTL,Spain,ESP,38850435,40263216,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46418269,..
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17078000,18655000,19668000,19817000,19967000,20118000,20270000,20424000,20579000,20771000,20966000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40833,45544,50465,51093,51717,52352,52998,53650,54301,54944,55572,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138180,156949,170146,172729,175196,177397,179278,180890,182305,183645,184999,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,28384,28905,29376,29820,30235,30615,30959,31264,31530,31754,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107509,107897,109049,109165,109255,109316,109341,109334,109327,109360,109462,..
"Population, total",SP.POP.TOTL,Sudan,SDN,20008804,28079664,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,40234882,..
"Population, total",SP.POP.TOTL,Suriname,SUR,408276,480751,500953,506657,512522,518141,523439,528535,533450,538248,542975,..
"Population, total",SP.POP.TOTL,Swaziland,SWZ,862728,1063715,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,1286970,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9798871,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8286976,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12451539,16354050,19425597,20097057,20566871,20720602,20501167,19978756,19322593,18772481,18502413,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5297286,6186152,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840,8481855,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,25458208,33991590,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,53470420,..
"Population, total",SP.POP.TOTL,Thailand,THA,56582824,62693322,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,67959359,..
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,740231,847185,1013194,1030630,1048367,1066409,1120392,1148958,1180069,1212107,1245015,..
"Population, total",SP.POP.TOTL,Togo,TGO,3786942,4874735,5890414,6052937,6219761,6390851,6566179,6745581,6928719,7115163,7304578,..
"Population, total",SP.POP.TOTL,Tonga,TON,95152,97898,102169,102816,103416,103947,104392,104769,105139,105586,106170,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221904,1267980,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483,1360088,..
"Population, total",SP.POP.TOTL,Tunisia,TUN,8154400,9552500,10225100,10328900,10439600,10547100,10673800,10777500,10886500,10996600,11107800,..
"Population, total",SP.POP.TOTL,Turkey,TUR,53994605,63240157,69515492,70344357,71261307,72310416,73517002,74849187,76223639,77523788,78665830,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3668000,4501419,4858235,4917541,4978960,5041995,5106672,5172941,5240088,5307188,5373502,..
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11550,18876,28638,29481,30247,30993,31727,32430,33103,33740,34339,..
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9004,9419,9764,9788,9808,9827,9844,9860,9876,9893,9916,..
"Population, total",SP.POP.TOTL,Uganda,UGA,17384369,23757636,29991958,31014427,32067125,33149417,34260342,35400620,36573387,37782971,39032383,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,51892000,49175848,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45362900,45198200,..
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1811458,3050128,6010100,6900142,7705423,8329453,8734722,8952542,9039978,9086139,9156963,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65138232,..
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,301231207,304093966,306771529,309346863,311718857,314102623,316427395,318907401,321418820,..
"Population, total",SP.POP.TOTL,Uruguay,URY,3109987,3321242,3339750,3350832,3362761,3374414,3385610,3396753,3407969,3419516,3431555,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31299500,..
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146633,185058,219956,225335,230782,236299,241876,247498,253165,258883,264652,..
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19861959,24481477,27670659,28116716,28558607,28995745,29427631,29854238,30276045,30693827,31108083,..
